('😩', '💩', 5)
('😩', '🧠', 2)
('😩', '🤑', 10)
('😩', '🕳️', 2)
('😩', '⚠️', 2)
('😩', '🚸', 2)
('😩', '🚮', 6)
('😩', '🆖', 4)
('😩', '🔀', 2)
('😩', '🔄', 2)
('😩', '🔃', 2)
('😤', '😱', 8)
('😤', '😵', 9)
('😤', '🤯', 226)
('😤', '😲', 4)
('😤', '🥴', 2)
('😤', '🥶', 10)
('😤', '💀', 2)
('😤', '☠️', 2)
('😤', '🤖', 2)
('😤', '👋🏻', 2)
('😤', '✍🏻', 2)
('😤', '👶🏻', 2)
('😤', '🦴', 2)
('😤', '🗣️', 2)
('😤', '💩', 5)
('😤', '🧠', 2)
('😤', '🤑', 11)
('😤', '🕳️', 2)
('😤', '⚠️', 2)
('😤', '🚸', 2)
('😤', '🚮', 6)
('😤', '🆖', 4)
('😤', '🔀', 2)
('😤', '🔄', 2)
('😤', '🔃', 2)
('😱', '😵', 19)
('😱', '🤯', 30)
('😱', '😲', 24)
('😱', '🥴', 3)
('😱', '🥶', 18)
('😱', '💀', 216)
('😱', '☠️', 369)
('😱', '🤖', 5)
('😱', '👋🏻', 2)
('😱', '✍🏻', 2)
('😱', '👶🏻', 2)
('😱', '🦴', 2)
('😱', '🗣️', 4)
('😱', '💩', 80)
('😱', '🧠', 24)
('😱', '🤑', 32)
('😱', '🕳️', 2)
('😱', '⚠️', 3)
('😱', '🚸', 2)
('😱', '🚮', 6)
('😱', '🆖', 4)
('😱', '🔀', 2)
('😱', '🔄', 2)
('😱', '🔃', 2)
('😵', '🤯', 7)
('😵', '😲', 15)
('😵', '🥴', 2)
('😵', '🥶', 10)
('😵', '💀', 3)
('😵', '☠️', 7)
('😵', '🤖', 2)
('😵', '👋🏻', 2)
('😵', '✍🏻', 2)
('😵', '👶🏻', 2)
('😵', '🦴', 2)
('😵', '🗣️', 2)
('😵', '💩', 13)
